Date,DXY,SP500,US10Y,VIX
2016-02-16,96.87000274658203,1895.5799560546875,1.777999997138977,24.110000610351562
2016-02-17,96.79000091552734,1926.8199462890625,1.819000005722046,22.309999465942383
2016-02-18,96.94999694824219,1917.8299560546875,1.7589999437332153,21.639999389648438
2016-02-19,96.5999984741211,1917.780029296875,1.7480000257492065,20.530000686645508
2016-02-22,97.37999725341797,1945.5,1.7660000324249268,19.3799991607666
2016-02-23,97.4800033569336,1921.27001953125,1.7450000047683716,20.979999542236328
2016-02-24,97.45999908447266,1929.800048828125,1.7419999837875366,20.719999313354492
2016-02-25,97.29000091552734,1951.699951171875,1.6970000267028809,19.110000610351562
2016-02-26,98.1500015258789,1948.050048828125,1.7619999647140503,19.809999465942383
2016-02-29,98.20999908447266,1932.22998046875,1.7400000095367432,20.549999237060547
2016-03-01,98.3499984741211,1978.3499755859375,1.8339999914169312,17.700000762939453
2016-03-02,98.20999908447266,1986.449951171875,1.8480000495910645,17.09000015258789
2016-03-03,97.56999969482422,1993.4000244140625,1.8300000429153442,16.700000762939453
2016-03-04,97.33999633789062,1999.989990234375,1.8830000162124634,16.860000610351562
2016-03-07,97.06999969482422,2001.760009765625,1.9019999504089355,17.350000381469727
2016-03-08,97.20999908447266,1979.260009765625,1.8320000171661377,18.670000076293945
2016-03-09,97.16999816894531,1989.260009765625,1.8919999599456787,18.34000015258789
2016-03-10,96.06999969482422,1989.5699462890625,1.9290000200271606,18.049999237060547
2016-03-11,96.16999816894531,2022.18994140625,1.9769999980926514,16.5
2016-03-14,96.62000274658203,2019.6400146484375,1.9630000591278076,16.920000076293945
2016-03-15,96.62999725341797,2015.9300537109375,1.9589999914169312,16.84000015258789
2016-03-16,95.88999938964844,2027.219970703125,1.937999963760376,14.989999771118164
2016-03-17,94.76000213623047,2040.5899658203125,1.902999997138977,14.4399995803833
2016-03-18,94.98999786376953,2049.580078125,1.871000051498413,14.020000457763672
2016-03-21,95.29000091552734,2051.60009765625,1.9229999780654907,13.789999961853027
2016-03-22,95.6500015258789,2049.800048828125,1.934999942779541,14.170000076293945
2016-03-23,96.05000305175781,2036.7099609375,1.875,14.9399995803833
